Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects
37-45,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cystic,Benzoyl Peroxide + Azelaic Acid + Zinc PCA,1% + 0.5% + 3%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Controls sebum production"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Pigmented,Niacinamide + Licorice Extract + Hyaluronic Acid,10% + 2% + 0.5%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Hydrates and plumps the skin"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Vascular,Caffeine + Niacinamide + Vitamin C,1% + 10% + 3%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Dark Spots,General,Alpha Arbutin + Kojic Acid + Niacinamide,1% + 8% + 2%,"Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Dullness,General,Vitamin C + Niacinamide + Lactic Acid,0.5% + 2% + 5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Hyperpigmentation,General,Niacinamide + Licorice Extract + Alpha Arbutin,3% + 10% + 8%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Open Pores,General,Green Tea Extract + Niacinamide + Azelaic Acid,1% + 3% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Redness,General,Niacinamide + Aloe Vera + Centella Asiatica,0.5% + 8% + 5%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Sun Tan,General,Licorice Extract + Aloe Vera + Alpha Arbutin,1% + 0.5% + 8%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Whiteheads / Blackheads,General,Willow Bark Extract + Niacinamide + Salicylic Acid,8% + 1% + 2%,"Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
37-45,Combination,T-Zone Oily Cheeks Dry,No,Wrinkles,General,Hyaluronic Acid + Peptides + Niacinamide,3% + 5% + 1%,"Hydrates and plumps the skin, Improves skin elasticity and firmness, Reduces inflammation and regulates sebum"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,Niacinamide + Benzoyl Peroxide + Green Tea Extract,3% + 2% + 8%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,Niacinamide + Azelaic Acid + Zinc PCA,8% + 3% + 5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Controls sebum production"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Nodular,Azelaic Acid + Niacinamide + Salicylic Acid,0.5% + 3% + 10%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cystic,Salicylic Acid + Azelaic Acid + Benzoyl Peroxide,1% + 8% + 10%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Kills acne-causing bacteria"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Pigmented,Niacinamide + Licorice Extract + Vitamin K,2% + 8% + 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Vascular,Niacinamide + Caffeine + Licorice Extract,0.5% + 5% + 1%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Spots,General,Licorice Extract + Kojic Acid + Vitamin C,0.5% + 5% + 10%,"Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dullness,General,Vitamin C + Hyaluronic Acid + Niacinamide,0.5% + 1% + 8%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Hyperpigmentation,General,Vitamin C + Licorice Extract + Niacinamide,3% + 5% + 10%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Open Pores,General,Green Tea Extract + Clay + Salicylic Acid,8% + 3% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores, Unclogs pores and removes excess oil"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Redness,General,Aloe Vera + Green Tea Extract + Centella Asiatica,10% + 0.5% + 2%,"Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Sun Tan,General,Aloe Vera + Licorice Extract + Niacinamide,8% + 1% + 2%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Whiteheads / Blackheads,General,Niacinamide + Zinc PCA + Willow Bark Extract,2% + 8% + 5%,"Reduces inflammation and regulates sebum, Controls sebum production, Naturally exfoliates and clears pores"
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Wrinkles,General,Peptides + Coenzyme Q10 + Retinol,3% + 10% + 8%,"Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,Salicylic Acid + Niacinamide + Zinc PCA,8% + 2% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,Salicylic Acid + Zinc PCA + Azelaic Acid,2% + 1% + 3%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Nodular,Salicylic Acid + Niacinamide + Azelaic Acid,10% + 2% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cystic,Azelaic Acid + Niacinamide + Benzoyl Peroxide,3% + 10% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Pigmented,Licorice Extract + Niacinamide + Vitamin C,0.5% + 1% + 5%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Vascular,Caffeine + Vitamin K + Vitamin C,5% + 2% + 3%,"Reduces puffiness and improves circulation, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dark Spots,General,Niacinamide + Alpha Arbutin + Licorice Extract,2% + 0.5% + 10%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dullness,General,Hyaluronic Acid + Niacinamide + Lactic Acid,8% + 3% + 0.5%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Hyperpigmentation,General,Tranexamic Acid + Niacinamide + Vitamin C,3% + 0.5% + 1%,"Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Open Pores,General,Salicylic Acid + Clay + Green Tea Extract,0.5% + 10% + 1%,"Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Redness,General,Centella Asiatica + Aloe Vera + Chamomile Extract,1% + 10% + 2%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Calms redness and irritation"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Sun Tan,General,Niacinamide + Vitamin C + Alpha Arbutin,5% + 1% + 10%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Whiteheads / Blackheads,General,Willow Bark Extract + Glycolic Acid + Zinc PCA,1% + 2% + 3%,"Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin, Controls sebum production"
37-45,Combination,T-Zone Dry Cheeks Oily,No,Wrinkles,General,Hyaluronic Acid + Coenzyme Q10 + Niacinamide,1% + 10% + 5%,"Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Azelaic Acid + Niacinamide,5% + 1% + 3%,"Controls sebum production, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Dry,Yes,Acne,Inflammatory,Green Tea Extract + Benzoyl Peroxide + Salicylic Acid,0.5% + 10% + 3%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
45+,Normal,Normal to Dry,Yes,Acne,Nodular,Salicylic Acid + Azelaic Acid + Zinc PCA,3% + 8% + 2%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Controls sebum production"
45+,Normal,Normal to Dry,Yes,Acne,Cystic,Zinc PCA + Azelaic Acid + Salicylic Acid,5% + 10% + 1%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
45+,Normal,Normal to Dry,Yes,Dark Circles,Pigmented,Licorice Extract + Vitamin K + Vitamin C,8% + 0.5% + 10%,"Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
45+,Normal,Normal to Dry,Yes,Dark Circles,Vascular,Niacinamide + Licorice Extract + Hyaluronic Acid,0.5% + 5% + 2%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Hydrates and plumps the skin"
45+,Normal,Normal to Dry,Yes,Dark Spots,General,Niacinamide + Alpha Arbutin + Licorice Extract,5% + 2% + 10%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone"
45+,Normal,Normal to Dry,Yes,Dullness,General,Lactic Acid + Niacinamide + Hyaluronic Acid,2% + 0.5% + 5%,"Gently exfoliates and improves skin radiance, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
45+,Normal,Normal to Dry,Yes,Hyperpigmentation,General,Licorice Extract + Vitamin C + Tranexamic Acid,1% + 2% + 5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation"
45+,Normal,Normal to Dry,Yes,Open Pores,General,Salicylic Acid + Clay + Azelaic Acid,5% + 10% + 3%,"Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture"
45+,Normal,Normal to Dry,Yes,Redness,General,Niacinamide + Green Tea Extract + Chamomile Extract,1% + 10% + 5%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation"
45+,Normal,Normal to Dry,Yes,Sun Tan,General,Alpha Arbutin + Licorice Extract + Vitamin C,5% + 0.5% + 1%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
45+,Normal,Normal to Dry,Yes,Whiteheads / Blackheads,General,Zinc PCA + Niacinamide + Glycolic Acid,8% + 2% + 0.5%,"Controls sebum production, Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin"
45+,Normal,Normal to Dry,Yes,Wrinkles,General,Peptides + Niacinamide + Retinol,1% + 8% + 0.5%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles"
45+,Normal,Normal to Dry,No,Acne,Comedonal,Azelaic Acid + Benzoyl Peroxide + Green Tea Extract,10% + 2% + 1%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Dry,No,Acne,Inflammatory,Niacinamide + Zinc PCA + Azelaic Acid,8% + 5% + 1%,"Reduces inflammation and regulates sebum, Controls sebum production, Reduces acne and improves skin texture"
45+,Normal,Normal to Dry,No,Acne,Nodular,Salicylic Acid + Green Tea Extract + Zinc PCA,3% + 0.5% + 8%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
45+,Normal,Normal to Dry,No,Acne,Cystic,Zinc PCA + Azelaic Acid + Niacinamide,0.5% + 10% + 3%,"Controls sebum production, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Dry,No,Dark Circles,Pigmented,Caffeine + Vitamin C + Hyaluronic Acid,3% + 1% + 5%,"Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
45+,Normal,Normal to Dry,No,Dark Circles,Vascular,Licorice Extract + Niacinamide + Hyaluronic Acid,3% + 8% + 10%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
45+,Normal,Normal to Dry,No,Dark Spots,General,Vitamin C + Alpha Arbutin + Kojic Acid,1% + 2% + 10%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
45+,Normal,Normal to Dry,No,Dullness,General,Vitamin C + Green Tea Extract + Lactic Acid,8% + 10% + 0.5%,"Brightens skin and reduces pigmentation, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
45+,Normal,Normal to Dry,No,Hyperpigmentation,General,Tranexamic Acid + Alpha Arbutin + Vitamin C,10% + 0.5% + 5%,"Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
45+,Normal,Normal to Dry,No,Open Pores,General,Clay + Azelaic Acid + Salicylic Acid,5% + 1% + 3%,"Absorbs excess oil and tightens pores, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
45+,Normal,Normal to Dry,No,Redness,General,Green Tea Extract + Niacinamide + Aloe Vera,0.5% + 5% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
45+,Normal,Normal to Dry,No,Sun Tan,General,Alpha Arbutin + Vitamin C + Aloe Vera,2% + 5% + 8%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Soothes and hydrates irritated skin"
45+,Normal,Normal to Dry,No,Whiteheads / Blackheads,General,Glycolic Acid + Niacinamide + Willow Bark Extract,1% + 0.5% + 3%,"Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum, Naturally exfoliates and clears pores"
45+,Normal,Normal to Dry,No,Wrinkles,General,Coenzyme Q10 + Retinol + Hyaluronic Acid,1% + 0.5% + 8%,"Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles, Hydrates and plumps the skin"
45+,Normal,Normal to Oily,Yes,Acne,Comedonal,Zinc PCA + Benzoyl Peroxide + Salicylic Acid,3% + 1% + 8%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
45+,Normal,Normal to Oily,Yes,Acne,Inflammatory,Benzoyl Peroxide + Salicylic Acid + Azelaic Acid,10% + 0.5% + 8%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
45+,Normal,Normal to Oily,Yes,Acne,Nodular,Niacinamide + Benzoyl Peroxide + Zinc PCA,2% + 5% + 8%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production"
45+,Normal,Normal to Oily,Yes,Acne,Cystic,Salicylic Acid + Zinc PCA + Azelaic Acid,0.5% + 10% + 2%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
45+,Normal,Normal to Oily,Yes,Dark Circles,Pigmented,Niacinamide + Vitamin K + Hyaluronic Acid,1% + 5% + 10%,"Reduces inflammation and regulates sebum, Improves blood circulation under eyes, Hydrates and plumps the skin"
45+,Normal,Normal to Oily,Yes,Dark Circles,Vascular,Licorice Extract + Vitamin K + Niacinamide,0.5% + 1% + 5%,"Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,Yes,Dark Spots,General,Niacinamide + Kojic Acid + Alpha Arbutin,2% + 10% + 3%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Reduces hyperpigmentation and dark spots"
45+,Normal,Normal to Oily,Yes,Dullness,General,Hyaluronic Acid + Green Tea Extract + Lactic Acid,1% + 5% + 0.5%,"Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
45+,Normal,Normal to Oily,Yes,Hyperpigmentation,General,Niacinamide + Tranexamic Acid + Licorice Extract,5% + 2% + 10%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone"
45+,Normal,Normal to Oily,Yes,Open Pores,General,Niacinamide + Azelaic Acid + Green Tea Extract,0.5% + 10% + 3%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Oily,Yes,Redness,General,Niacinamide + Centella Asiatica + Aloe Vera,3% + 0.5% + 5%,"Reduces inflammation and regulates sebum, Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin"
45+,Normal,Normal to Oily,Yes,Sun Tan,General,Licorice Extract + Aloe Vera + Alpha Arbutin,5% + 1% + 3%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
45+,Normal,Normal to Oily,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Glycolic Acid + Niacinamide,1% + 0.5% + 8%,"Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,Yes,Wrinkles,General,Peptides + Hyaluronic Acid + Niacinamide,3% + 0.5% + 2%,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,No,Acne,Comedonal,Salicylic Acid + Benzoyl Peroxide + Zinc PCA,5% + 8% + 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production"
45+,Normal,Normal to Oily,No,Acne,Inflammatory,Niacinamide + Azelaic Acid + Green Tea Extract,8% + 0.5% + 5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Oily,No,Acne,Nodular,Benzoyl Peroxide + Niacinamide + Salicylic Acid,5% + 2% + 10%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
45+,Normal,Normal to Oily,No,Acne,Cystic,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,8% + 0.5% + 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Oily,No,Dark Circles,Pigmented,Vitamin C + Caffeine + Licorice Extract,0.5% + 10% + 1%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone"
45+,Normal,Normal to Oily,No,Dark Circles,Vascular,Licorice Extract + Caffeine + Niacinamide,2% + 10% + 3%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,No,Dark Spots,General,Licorice Extract + Alpha Arbutin + Vitamin C,2% + 10% + 8%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
45+,Normal,Normal to Oily,No,Dullness,General,Lactic Acid + Niacinamide + Green Tea Extract,5% + 8% + 1%,"Gently exfoliates and improves skin radiance, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
45+,Normal,Normal to Oily,No,Hyperpigmentation,General,Vitamin C + Niacinamide + Tranexamic Acid,5% + 2% + 0.5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
45+,Normal,Normal to Oily,No,Open Pores,General,Green Tea Extract + Salicylic Acid + Niacinamide,10% + 5% + 2%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
45+,Normal,Normal to Oily,No,Redness,General,Centella Asiatica + Niacinamide + Aloe Vera,3% + 2% + 5%,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
45+,Normal,Normal to Oily,No,Sun Tan,General,Aloe Vera + Licorice Extract + Alpha Arbutin,5% + 3% + 10%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots"
45+,Normal,Normal to Oily,No,Whiteheads / Blackheads,General,Glycolic Acid + Salicylic Acid + Zinc PCA,2% + 0.5% + 1%,"Exfoliates dead skin cells and smooths skin, Unclogs pores and removes excess oil, Controls sebum production"
45+,Normal,Normal to Oily,No,Wrinkles,General,Peptides + Niacinamide + Retinol,2% + 0.5% + 3%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles"
45+,Dry,Dry to Normal,Yes,Acne,Comedonal,Salicylic Acid + Niacinamide + Benzoyl Peroxide,3% + 8% + 2%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
45+,Dry,Dry to Normal,Yes,Acne,Inflammatory,Benzoyl Peroxide + Niacinamide + Zinc PCA,8% + 0.5% + 2%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production"
45+,Dry,Dry to Normal,Yes,Acne,Nodular,Azelaic Acid + Green Tea Extract + Zinc PCA,0.5% + 1% + 2%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
45+,Dry,Dry to Normal,Yes,Acne,Cystic,Benzoyl Peroxide + Salicylic Acid + Green Tea Extract,0.5% + 3% + 2%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
45+,Dry,Dry to Normal,Yes,Dark Circles,Pigmented,Niacinamide + Hyaluronic Acid + Caffeine,10% + 8% + 1%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Reduces puffiness and improves circulation"
45+,Dry,Dry to Normal,Yes,Dark Circles,Vascular,Niacinamide + Vitamin C + Licorice Extract,3% + 2% + 10%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
45+,Dry,Dry to Normal,Yes,Dark Spots,General,Niacinamide + Licorice Extract + Kojic Acid,1% + 10% + 5%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration"
45+,Dry,Dry to Normal,Yes,Dullness,General,Green Tea Extract + Hyaluronic Acid + Lactic Acid,2% + 5% + 3%,"Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Gently exfoliates and improves skin radiance"
45+,Dry,Dry to Normal,Yes,Hyperpigmentation,General,Tranexamic Acid + Alpha Arbutin + Niacinamide,5% + 0.5% + 10%,"Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,Yes,Open Pores,General,Clay + Green Tea Extract + Niacinamide,5% + 2% + 8%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,Yes,Redness,General,Aloe Vera + Chamomile Extract + Niacinamide,1% + 8% + 0.5%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,Yes,Sun Tan,General,Alpha Arbutin + Licorice Extract + Aloe Vera,0.5% + 3% + 2%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin"
45+,Dry,Dry to Normal,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid + Glycolic Acid,3% + 0.5% + 2%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
45+,Dry,Dry to Normal,Yes,Wrinkles,General,Niacinamide + Hyaluronic Acid + Peptides,1% + 10% + 3%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves skin elasticity and firmness"
45+,Dry,Dry to Normal,No,Acne,Comedonal,Green Tea Extract + Salicylic Acid + Niacinamide,0.5% + 5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,No,Acne,Inflammatory,Azelaic Acid + Green Tea Extract + Zinc PCA,0.5% + 2% + 10%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
45+,Dry,Dry to Normal,No,Acne,Nodular,Green Tea Extract + Azelaic Acid + Niacinamide,0.5% + 5% + 8%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,No,Acne,Cystic,Green Tea Extract + Niacinamide + Salicylic Acid,10% + 8% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
45+,Dry,Dry to Normal,No,Dark Circles,Pigmented,Vitamin K + Niacinamide + Licorice Extract,1% + 8% + 10%,"Improves blood circulation under eyes, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
45+,Dry,Dry to Normal,No,Dark Circles,Vascular,Niacinamide + Hyaluronic Acid + Vitamin K,3% + 10% + 1%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves blood circulation under eyes"
45+,Dry,Dry to Normal,No,Dark Spots,General,Niacinamide + Alpha Arbutin + Kojic Acid,1% + 10% + 8%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
45+,Dry,Dry to Normal,No,Dullness,General,Green Tea Extract + Vitamin C + Niacinamide,1% + 8% + 2%,"Provides antioxidant and anti-inflammatory benefits, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
45+,Dry,Dry to Normal,No,Hyperpigmentation,General,Tranexamic Acid + Alpha Arbutin + Vitamin C,10% + 3% + 8%,"Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
45+,Dry,Dry to Normal,No,Open Pores,General,Niacinamide + Salicylic Acid + Azelaic Acid,8% + 5% + 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
45+,Dry,Dry to Normal,No,Redness,General,Centella Asiatica + Niacinamide + Aloe Vera,5% + 2% + 0.5%,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
